created_at,text,screen_name,profile_image
Tue Feb 23 16:02:53 +0000 2021,"my obsession with classic hollywood movies, 19th-century romance novels and 60s pop music has, perhaps, given me unrealistic expectations for my dating life.",holyporous434,https://pbs.twimg.com/profile_images/1358880086875926530/70JfjAw3_normal.jpg
Tue Feb 23 15:41:33 +0000 2021,"The last time Bobby Shmurda was a free man Pop Smoke hadn’t even began recording music, Drake had just dropped Views, Future and NBA Youngboy collectively had 9 less children, LeBron was on the Cavs and Lil Uzi Vert was a new artist…

bro returning to an ENTIRELY different world",trippypham,https://pbs.twimg.com/profile_images/593393268311724034/kPlPLbAc_normal.jpg
Tue Feb 23 15:22:02 +0000 2021,"ON THIS DAY IN MUSIC HISTORY:

1963 - The Chiffons' ""He's So Fine"" appeared on the pop chart for the first time, on its way to No. 1. George Harrison was sued years later for unconsciously plagiarizing the melody for his ""My Sweet Lord."" @973KBCO https://t.co/Wg3scpjsJQ",radiokeefer,https://pbs.twimg.com/profile_images/1116838374898372613/DviqTQgi_normal.png
Tue Feb 23 15:19:21 +0000 2021,"@modooborahae @coldplay @BTS_twt One of Bangtan's top 20 favorite songs.💜

@BTS_twt #BTS #BTSARMY #BTSxMTVUnplugged 

https://t.co/d3M1jH5TRz",BlancheKnox5,https://pbs.twimg.com/profile_images/1311714395269947392/MqdKvGHW_normal.png
Tue Feb 23 15:14:01 +0000 2021,"#BlackHistoryMonth 
Billie Holiday, was an American jazz and swing music singer with a career spanning 26 years. Nicknamed ""Lady Day"", Holiday had an innovative influence on jazz music and pop singing.
https://t.co/zA8kOEj5oS https://t.co/nMDvzguIAu",Jess_Mariano_1,https://pbs.twimg.com/profile_images/1352680434577125383/MQKash5e_normal.jpg
Tue Feb 23 14:19:46 +0000 2021,"Does anyone have any good music recommendations? I usually listen to pop or rap and my favorite artists are Ariana Grande, Why Don’t We, Megan Thee Stallion, Johnny Orlando, and Taylor Swift 😊",TonyWebber06,https://pbs.twimg.com/profile_images/1364148429493063681/StTsr1zI_normal.jpg
Tue Feb 23 13:52:24 +0000 2021,Pop music sucks.,UReap3r09,https://pbs.twimg.com/profile_images/1360148198657040385/z1fdDyJo_normal.jpg
Tue Feb 23 13:51:22 +0000 2021,Ayy https://t.co/FPeGLQcCII,loveumame,https://pbs.twimg.com/profile_images/1359723547342602244/lc-4McYt_normal.jpg
Tue Feb 23 13:36:04 +0000 2021,"@BbtgBes Get your hands on some strawberries. Pick them.
Make sure you have a radio.
Eat the hell out of those strawberries. This increases your odds of having a baby girl.Listen to pop music as much as possible eat strawberries while listening",M0llie5,https://pbs.twimg.com/profile_images/1363290027833372673/7G84QVKu_normal.jpg
Tue Feb 23 12:57:31 +0000 2021,"What type of music are balloons scared of?

Pop.",That1joke,https://pbs.twimg.com/profile_images/807289729003692032/8XIQNwRF_normal.jpg
Tue Feb 23 12:07:39 +0000 2021,If a female that shake ass don’t wanna shake her ass to yo music then yo shit really garbage cause bitches will pop pussy to damn near any song,GloManSavage98,https://pbs.twimg.com/profile_images/1359441674607468544/XlvbjgpP_normal.jpg
Tue Feb 23 12:05:47 +0000 2021,"i wanna become a high school music teacher but only so i can produce the orchestral version of “pop, lock &amp; drop it” the world needs",tatiana_altieri,https://pbs.twimg.com/profile_images/1319762973909348352/7yQqc0tg_normal.jpg
Tue Feb 23 11:13:41 +0000 2021,"The new single ""TOUCH"" coming Friday 3/12 on all streaming platforms...#music #NowPlaying #SpotifyPlaylist #pop #musique #NewSingle
#Apple 
#AppleMusicのえるぷれ
#NowPlaying
#Download #popmusic #ポップミュージック  https://t.co/vTlkhznM7Y",BafooneryJean,https://pbs.twimg.com/profile_images/1323726195154890752/Z2Wn8_Ud_normal.jpg
Tue Feb 23 11:13:10 +0000 2021,"Die neue Single ""Wishes"" ist jetzt auf allen Streaming-Plattformen erhältlich!!!
#music #NowPlaying #SpotifyPlaylist #pop #musique #NewSingle
#Apple 
#AppleMusicのえるぷれ
#NowPlaying
#Download #popmusic #ポップミュージック https://t.co/bHQvBXLm3c (powered by @distrokid)",BafooneryJean,https://pbs.twimg.com/profile_images/1323726195154890752/Z2Wn8_Ud_normal.jpg
Tue Feb 23 11:06:46 +0000 2021,"The new single ""TOUCH"" coming Friday 3/12 on all streaming platforms...#music #NowPlaying #SpotifyPlaylist #pop #musique #NewSingle
#Apple #NowPlaying
#Download #popmusic #ポップミュージック https://t.co/vTlkhznM7Y",BafooneryJean,https://pbs.twimg.com/profile_images/1323726195154890752/Z2Wn8_Ud_normal.jpg
Tue Feb 23 10:00:37 +0000 2021,"Music artist from Oceanside, CA. He makes music of the housing hip-hop genre with touches in the realms of Pop, Afrobeat, Dancehall, EDM and Reggaeton. The track ""Come to Me"" is of great Pop/Dancehall appeal.   
https://t.co/Ho7rgdO9xx https://t.co/itckHHFGUu",MySocialPoint,https://pbs.twimg.com/profile_images/1131314392983904256/eTEDTQJR_normal.png
Tue Feb 23 09:07:04 +0000 2021,"210222 RollingStone一部和訳
#SHINee

Ｑ:読者へSHINeeを代表する５曲を選ぶとしたら？個人的にSherlock大好きです。

キー:あ、もちろんSherlock。
テミン:僕たちも気に入っている一曲です。
ミノ:Replay。
キー:Replay, View, Sherlock, Don't Call Me。
→
https://t.co/UXjR7Jvuyl",HyunPuppies,https://pbs.twimg.com/profile_images/1168400303755952129/8AMlTeXX_normal.jpg
Tue Feb 23 07:57:22 +0000 2021,Will ya'll still love me if I make bedroom dream pop music?,DeadlyViceroy,https://pbs.twimg.com/profile_images/1355258962933899266/ffbHZrcC_normal.jpg
Tue Feb 23 07:19:58 +0000 2021,@kirimixer ...uhhh....colorism is still very much a thing today in the music industry😳....the fact that it’s taken over 20 years (Since Brandy’s prime) for us to finally see a dark skin girl POSSIBLY reach pop girl status kind of shows that. &amp; that’s why I hope ppl don’t try to box her in.,lm_ultimate,https://pbs.twimg.com/profile_images/1354493720251543554/w7g-Q295_normal.jpg
Tue Feb 23 07:14:28 +0000 2021,"Pop Enemies Out Now 🔥🔥 

https://t.co/raTupB6EEx

#rapper #rap #hiphop #music #artist #producer #dj #soundcloud #beats #newmusic #trap #hiphopmusic #love #musicproducer #singer #rappers #art #rnb #musician #studio #instagood #follow #like #SmallStreamersConnect v",jusstakczmusic,https://pbs.twimg.com/profile_images/1358724613568679937/9P1Xf-06_normal.jpg
Tue Feb 23 06:41:53 +0000 2021,"not going to lie tonight was so much fun xD Gotta butcher anime songs and sing a lot of american pop music. Realized I need to listen to more Panic! At the Disco xD

Thanks everyone who came by! QWQ LOVE YOU PEEPS!",SinfilledJay,https://pbs.twimg.com/profile_images/1358815660248354817/WynWL_r3_normal.jpg
Tue Feb 23 05:08:15 +0000 2021,"🎸 Drop your links !
#spotify #Playlist Submissions
Increase continuously your listeners audience

🔥Try it now =&gt;  https://t.co/K79x9EdXWb  

-Promote organically your new music
-Track submission to Playlists
-Playlists for many music genres (HipHop Pop Rock EDM Indie) https://t.co/vDisknuG7G",MySocialPoint,https://pbs.twimg.com/profile_images/1131314392983904256/eTEDTQJR_normal.png
Tue Feb 23 04:47:06 +0000 2021,I’m not saying all women should have to like pop music (and variants) but the Venn diagram of women that adamantly insist they hate pop music and women that have unhealed internalized misogyny is a circle.,gothmombie,https://pbs.twimg.com/profile_images/1329227917482745856/yCDR05-m_normal.jpg
Tue Feb 23 04:42:37 +0000 2021,@RapTalkv2 i went through a kpop phase when i was losing interest in pop western music in 2013 up til 2015 when that industry got shady and annoying. 2014-2016 was when i started getting into the hiphop and rnb/soul scene. i was listening to Kendrick without thinking he was a legend.,sowiokwon,https://pbs.twimg.com/profile_images/1346354737369681922/3oxDCbJv_normal.jpg
Tue Feb 23 03:59:18 +0000 2021,"Music artist from Oceanside, CA. He makes music of the housing hip-hop genre with touches in the realms of Pop, Afrobeat, Dancehall, EDM and Reggaeton. The track ""Come to Me"" is of great Pop/Dancehall appeal.   
https://t.co/XSWsWP5zU4 https://t.co/tYkmohalbQ",ArtistsandMusic,https://pbs.twimg.com/profile_images/639878411918405632/wkQatrEL_normal.jpg
Tue Feb 23 03:38:14 +0000 2021,"Sharing a link to @mlucchettimusic’s Instrumental Pop Covers Spotify playlist.  

Mahalo Maurizio Lucchetti! 🌺

https://t.co/AGNnfu7uoT 
@spotify #popcovers #studymusic #concentration music",alohaslack,https://pbs.twimg.com/profile_images/1347736479670276098/9azTXMNC_normal.jpg
Tue Feb 23 03:36:01 +0000 2021,"“Tinker Bell” by Dark Magic Ian (@darkmagic_ian)

All Music Services!

Mixing and Mastering by me and @Jkalmao 

#pop #disco #rnb #melody #disney #mixing #mastering #music #ssp https://t.co/jlrIKKQOfx",smokesignalprod,https://pbs.twimg.com/profile_images/1312162620645019649/pd0mTCvU_normal.jpg
Tue Feb 23 02:46:28 +0000 2021,"Watching the folks here talking about this or that generation's music and I realize when you live through enough decades, all the pop culture blends together.

For somebody like me, it was all background music anyway. Play a song for me and it may be familiar but unidentifiable.",ChasFlemming,https://pbs.twimg.com/profile_images/796039180946001920/iHAZdCbm_normal.jpg
Tue Feb 23 02:44:03 +0000 2021,"@dunkzone_ Also like super dumb, too. Sampling has been a staple of pop music for decades. It's literally the foundation of Hip-Hop",joshthebearman,https://pbs.twimg.com/profile_images/1323766874568622082/NDNnwvgk_normal.jpg
Tue Feb 23 02:42:33 +0000 2021,"Music artist from Oceanside, CA. He makes music of the housing hip-hop genre with touches in the realms of Pop, Afrobeat, Dancehall, EDM and Reggaeton. The track ""Come to Me"" is of great Pop/Dancehall appeal.  
https://t.co/XSWsWP5zU4",ArtistsandMusic,https://pbs.twimg.com/profile_images/639878411918405632/wkQatrEL_normal.jpg
Tue Feb 23 02:38:13 +0000 2021,Honestly country music and like alternative-ish pop music is right after dancehall and reggae for me.🥴,fashionReigns,https://pbs.twimg.com/profile_images/1363559092548173831/nItyy1AD_normal.jpg
Tue Feb 23 02:19:27 +0000 2021,#music #pop #2021spotify #poprising #indie  #lgbt https://t.co/ePULQ3uqOV,ohsnapitzdev,https://pbs.twimg.com/profile_images/1361140001984172037/lGfqEbyF_normal.jpg
Tue Feb 23 02:09:13 +0000 2021,@Superdestroyed And pop punk. It is seemingly ALL pop punk haha,hornbill_music,https://pbs.twimg.com/profile_images/1308924367263404044/l1MIkkjc_normal.jpg
Tue Feb 23 02:08:30 +0000 2021,"Looking at my Music library and wondering about genres that never caught on.  Do I go now back and reassign albums that I once (lovingly) tagged as ""Lap pop"" or ""Borecore"" to genres that mean something today?",sidmuchrock,https://pbs.twimg.com/profile_images/914722015386439680/WgqZOvWu_normal.jpg
Tue Feb 23 02:00:09 +0000 2021,"SNL cast members cry-sang her hit and she loved it!
https://t.co/WKa11zimOd",935wichita,https://pbs.twimg.com/profile_images/721195465295814656/tXIrIfLB_normal.jpg
Tue Feb 23 02:00:06 +0000 2021,A-List Pop https://t.co/QbE3RMSQnz,Mesmerized4u,https://pbs.twimg.com/profile_images/1317688936852987906/URkzf6Q8_normal.jpg
Tue Feb 23 01:57:03 +0000 2021,"""Frozen"" definitely had that odd Sting ""Desert Rose"" vibe going, kind of a time capsule of when pop stars took eastern styles of music to make western music sound more... Ethereal... And apparently exotic... To mixed results, especially w/ hindsight.

But Ray of Light... My God.",BenMcKee,https://pbs.twimg.com/profile_images/1095711786098020352/vxuwL0N5_normal.jpg
Tue Feb 23 01:54:56 +0000 2021,"Pop Enemies Out Now 🔥🔥 

https://t.co/raTupB6EEx

#rapper #rap #hiphop #music #artist #producer #dj #soundcloud #beats #newmusic #trap #hiphopmusic #love #musicproducer #singer #rappers #art #rnb #musician #studio #instagood #follow #like #SmallStreamersConnect",jusstakczmusic,https://pbs.twimg.com/profile_images/1358724613568679937/9P1Xf-06_normal.jpg
Tue Feb 23 01:50:25 +0000 2021,"Pop music:
Not funky
Endlessly repetitive
Boring chords

Intro song to the fitnessgram pacer test:
Extremely funky
Frequently changes rhythm
Cool chords

What's not to like",osterpizza,https://pbs.twimg.com/profile_images/1185799920269307904/vd_wmWgO_normal.jpg
Tue Feb 23 01:45:58 +0000 2021,@J_Quizzy I’m generally pretty open minded.  Not big into pop music as a general rule though.,mikejthefixer,https://pbs.twimg.com/profile_images/795275832650383362/zPVLbzBg_normal.jpg
Tue Feb 23 01:35:04 +0000 2021,"@swordedingaffa I think they are really influential and they deserve their acclaim, but they're not entirely my genre. I find it to be pretty cool that they're such prolific artists though, and madonna's contribution to pop culture is like boundlessly important in pop music at least.",bogposting,https://pbs.twimg.com/profile_images/1353251143921631234/ooW_WKpZ_normal.jpg
Tue Feb 23 01:26:31 +0000 2021,"Anyone have some spare vocals I can mess with? Like singing/rapping I want to build a song pretty much, inbox me. We can collab on an independent project together, think about it yo. #acapella #collab #music #hiphop #rap #pop",TaylorJames420,https://pbs.twimg.com/profile_images/1355988869708189700/onOr9KHj_normal.jpg
Tue Feb 23 01:19:50 +0000 2021,"@hopeworld_tiare @bts_bighit @michaeljackson When signing in to your account on Soundcloud, there's so many opportunities for you to upload music on your device or on your Computer. Besides, I've posted over 23 tracks on my profile of fan made K-pop songs. I just use the name of the song and the owner (artist).",pop_kx,https://pbs.twimg.com/profile_images/1354898441999159296/8xwCmLv-_normal.jpg
Tue Feb 23 01:17:02 +0000 2021,"@hopeworld_tiare @bts_bighit @michaeljackson When come to this conclusion, claiming your own rights on music is what's best for you to be an artists. Always start from the bottom and climbing yourself all the way to the top, that's what I'm going to do. Claiming your own copyrights means you've made a song and owns it.",pop_kx,https://pbs.twimg.com/profile_images/1354898441999159296/8xwCmLv-_normal.jpg
Tue Feb 23 01:00:55 +0000 2021,Bravo @A_R_Costanzo and collegaues! https://t.co/Sd8ctfGUuO https://t.co/gofIk2kN2U,santafeopera,https://pbs.twimg.com/profile_images/1173718995972702208/oyRARO_6_normal.jpg
Tue Feb 23 00:58:45 +0000 2021,"OH and the record that came before it yet another true masterpiece of modern music and in my humble opinion the greatest album of the 2000's and truly the greatest pop album of all time the ever so appropriately named discovery

https://t.co/6cClnWHJ1T",samIhellam,https://pbs.twimg.com/profile_images/1276021603747467264/_p5TzfRT_normal.jpg
Tue Feb 23 00:52:47 +0000 2021,"@seanfaywolfe The song doesn’t do any harm, and lots of people enjoy it. There’s no reason to be so pissy and mean about a pop song of all things (well, except to pander to ppl who also hate teenage girl’s music, which says a lot more about Buckley than Olivia Rodrigo)",outgoinghoh,https://pbs.twimg.com/profile_images/1012178729878073344/t327nEKA_normal.jpg
Tue Feb 23 00:43:43 +0000 2021,"@hopeworld_tiare @bts_bighit @michaeljackson Plus, you always have to be careful for what you're to be aware of and claiming your own copyrights when producing music on your own techniques. How I upload it without any copyrights? Well, I only did was make music on Garageband App and uploading it on Soundcloud.",pop_kx,https://pbs.twimg.com/profile_images/1354898441999159296/8xwCmLv-_normal.jpg
Tue Feb 23 00:41:08 +0000 2021,"@hopeworld_tiare @bts_bighit @michaeljackson Well, you had a good question. Well, without being copyrighted, I actually make music (Music Producer) and also without being copyrighted, I signed into Soundcloud like as usual and making music on Garageband app, uploading it and write any descriptions that claim only you.",pop_kx,https://pbs.twimg.com/profile_images/1354898441999159296/8xwCmLv-_normal.jpg
Tue Feb 23 00:33:07 +0000 2021,"dude says “gay boy rainbow” and “softy music” then edits a video to country pop :,( https://t.co/fbx0N78TX9",eonplops,https://pbs.twimg.com/profile_images/1364094461534347266/zm9Gvzr2_normal.jpg
Tue Feb 23 00:23:29 +0000 2021,"@CocktailPartyVA Dallas Cowboys, Los Angeles Lakers. Music Billy Idol, Huey Lewis &amp; The News, Hall and Oates. 80's 90's Pop and Rock. Like 90's 2000's hip hop",roryfox_,https://pbs.twimg.com/profile_images/1177824378668638208/8EbIWDBQ_normal.jpg
Tue Feb 23 00:02:30 +0000 2021,French Pop elegance.  https://t.co/fQPx7ufsf3,ch_ul0,https://pbs.twimg.com/profile_images/1359150556179226625/07ZOj3ys_normal.jpg
Mon Feb 22 23:38:08 +0000 2021,These kids running around like they are is really making it difficult to live this fantasy I have about being a pop star in a music video at the car wash.,CuddleCub91,https://pbs.twimg.com/profile_images/1351332261577121792/5DCyiCiB_normal.jpg
Mon Feb 22 23:24:13 +0000 2021,"I haven’t listened to “Random Access Memories” since I listened to it 100 times the summer it came out. Imagine my surprise when I realized, looking back, that their little disco love letter album to their heroes somehow set the tone of pop music for the next decade.",LuigisApartment,https://pbs.twimg.com/profile_images/1340706124375441409/OICkRNMF_normal.jpg
Mon Feb 22 23:16:27 +0000 2021,@EuropeanRevolt Hate to be that guy... but the older stuff is good. The new stuff is just pop music branded as country,thelostpug,https://pbs.twimg.com/profile_images/1359007596733104129/zWEJhz2c_normal.jpg
Mon Feb 22 23:03:43 +0000 2021,"Check out our music on Spotify and give us a follow!

https://t.co/4Fa604dyIs

#TheCatalina #Runaround #NewMusic #Spotify #SpotifyPlaylists #SODA #FreshFindsPop #FreshFinds #Rock #Pop #PopMusic #Artist https://t.co/YBv5LVm9XV",The_Catalina_,https://pbs.twimg.com/profile_images/1258238107868114944/d7qmY9d3_normal.jpg
Mon Feb 22 22:47:13 +0000 2021,"@syzymusic dont fkn apologize for shit nolan. music is music and anyone who actually cares will understand that. you’re not obligated to stick to any genre &amp; could very literally switch to pop tomorrow and id still listen because im a fan of YOU and YOUR music, not just dubstep. ❤️",najadubz,https://pbs.twimg.com/profile_images/1326420649829658627/VOZn0CPv_normal.jpg
Mon Feb 22 22:46:08 +0000 2021,@CardiGyal Yh but all their music is like that. It’s basic pop music that does really well on radio formats.,_icametosupport,https://pbs.twimg.com/profile_images/1337829401929637889/KTGjjRwS_normal.jpg
Mon Feb 22 22:29:14 +0000 2021,https://t.co/jARi6g8TGD,reverendentity,https://pbs.twimg.com/profile_images/1156519339241234434/xJzmEXKZ_normal.jpg
Mon Feb 22 22:20:34 +0000 2021,It's kinda sad that #DaftPunk called it quits. That was one of the best bands that get me into pop music.,German_Agent,https://pbs.twimg.com/profile_images/1363269860034289676/yKl65VGo_normal.jpg
